,WikipediaPageName,links
0,6ix9ine,"['Fetty Wap', 'ZillaKami', 'Fetty Wap', 'Casanova (rapper)', 'Meek Mill', 'Tupac Shakur', 'The Notorious B.I.G.', '50 Cent', 'ZillaKami', 'Meek Mill', '50 Cent', 'YG (rapper)', 'Lil Tjay']"
1,9th Prince,"['RZA', 'RZA', 'Islord', 'Hell Razah']"
2,22Gz,"['Casanova (rapper)', 'Pop Smoke', 'Sheff G', 'Don Q (rapper)', 'Pop Smoke', 'Fivio Foreign', 'Casanova (rapper)']"
3,38 Spesh,"['Styles P', 'Jadakiss', 'Fred the Godson', 'AZ (rapper)', 'N.O.R.E.', 'Kool G Rap', 'DJ Premier', 'Pete Rock', 'The Alchemist (musician)', 'Conway the Machine', 'Benny the Butcher', 'Kool G Rap', 'Harry Fraud']"
4,The 45 King,"['Apache (rapper)', 'Queen Latifah', 'Jay-Z', 'Ghostface Killah', 'Fatlip', 'Fatlip', 'Fatlip', 'Biz Markie', 'Craig Mack', 'Rakim', 'Jay-Z', 'Queen Latifah', 'Ed Lover', 'Apache (rapper)', 'MC Lyte', 'MC Lyte', 'MC Lyte', 'MC Lyte', 'Queen Latifah', 'Queen Latifah', 'Big Daddy Kane']"
5,50 Cent,"['Dr. Dre', 'Nate Dogg', 'Lloyd Banks', 'Tony Yayo', 'Jam Master Jay', 'Jay-Z', 'Kurupt', 'Big Pun', 'Nas', 'Sha Money XL', 'Jay-Z', 'Dr. Dre', 'Sha Money XL', 'Lloyd Banks', 'Lloyd Banks', 'Tony Yayo', 'The Game (rapper)', 'Spider Loc', '40 Glocc', 'Mase', 'Jay-Z', 'Cardiak', 'Lloyd Banks', 'Dr. Dre', 'Swizz Beatz', 'Pop Smoke', 'Big Daddy Kane', 'KRS-One', 'Nas', 'Rakim', 'The Notorious B.I.G.', 'Jay-Z', 'Ja Rule', 'Jam Master Jay', 'Meek Mill', 'The Game (rapper)', 'Nas', 'Jadakiss', 'Fat Joe', 'Spider Loc', 'Sean Combs', 'Tony Yayo', 'N.O.R.E.', ""Cam'ron"", 'Beanie Sigel']"
6,60 Second Assassin (rapper),"[""Ol' Dirty Bastard"", 'Ghostface Killah', 'Masta Killa', 'Hell Razah', 'Ghostface Killah', 'RZA', '9th Prince', 'RZA', 'Ill Bill']"
7,88-Keys,"['Prince Paul (producer)', 'Q-Tip (musician)', 'Pete Rock', 'Large Professor', 'Mos Def', 'Talib Kweli', 'Consequence (rapper)', 'Mac Miller']"
8,Sammy Adams,"['Asher Roth', 'Statik Selektah']"
9,Adeem (rapper),"['Alias (musician)', 'Sage Francis', 'Sage Francis', 'Sole (hip hop artist)']"
